,black,white,start_time,fifthmove,rt,result,blackelo,whiteelo,num_black_games,num_white_games
0,bootsgang,ResetAndrea,1606810164.0,g1f3,2.0,0.0,985,1007,0,0
1,BrashChipmunk,Jenni20,1606810223.0,e4e5,0.0,0.0,1096,1100,0,0
2,Scottyv2,Capivaraloka,1606810421.0,e4d5,3.0,1.0,1011,1062,0,0
3,starstriker27,iDanijel,1606810433.0,e4e5,0.0,1.0,1079,1138,0,0
4,Asharmubarak,umut0764,1606810552.0,e4e5,4.0,0.0,1141,1114,0,0
5,MILLOPR,NWHS_KNgabtak,1606810814.0,e4d5,0.0,0.0,1079,966,0,0
6,BrashChipmunk,Nap_Sevillano,1606810840.0,e4d5,3.0,1.0,1097,1116,1,0
7,Budung,huevopeludo,1606810964.0,e4e5,2.0,0.0,1057,1066,0,0
8,terrordosnoobs,simay98,1606811027.0,c2c3,4.0,0.0,840,822,0,0
9,hermbot,fierd,1606811089.0,f2f3,8.0,0.5,947,1010,0,0
10,erkamm,LVCIFER,1606811155.0,e4e5,4.0,1.0,1011,959,0,0
11,Pauloromus,GodzzGift,1606811192.0,e4d5,0.0,0.0,939,947,0,0
12,HerascuAlex,Racer-X,1606811748.0,b1c3,9.0,0.0,1148,1142,0,0
13,djhollywood,srivijay96,1606812027.0,e4e5,0.0,1.0,941,1084,0,0
14,Kulovski,kisroel,1606812113.0,e4d5,0.0,0.0,878,881,0,0
15,jbeatsu,TrickyO99,1606812161.0,e4d5,2.0,0.0,1130,1109,0,0
16,tybodsm,FightingItThrough,1606812477.0,e4e5,4.0,0.0,1167,1138,0,0
17,RSCHMIDTBR,jose_fuks,1606812503.0,b1c3,0.0,1.0,1075,1068,0,0
18,MadBaron,SyngenSmythe,1606812765.0,e4e5,1.0,1.0,913,950,0,0
19,DanBassy12,seanyboy98,1606812889.0,e4e5,0.0,0.0,1081,984,0,0
20,clfeero,LenonCD,1606813049.0,e4e5,0.0,1.0,1125,1064,0,0
21,Heywood_Jablowme69,prajna_paramita,1606814054.0,b1c3,2.0,0.0,924,945,0,0
22,klubkudu,Mareczekchess,1606814153.0,b1c3,2.0,1.0,1182,1157,0,0
23,ooohwillem,Ralfus,1606814247.0,e4d5,1.0,0.0,1145,1127,0,0
24,no2scrub,estorresj7,1606814250.0,b1c3,1.0,0.0,1053,928,0,0
25,matajcich,GavinWirth,1606814581.0,b1c3,14.0,1.0,968,976,0,0
26,kslaughtergt,Zdendy5,1606815037.0,b1c3,2.0,1.0,1073,1117,0,0
27,stephosaur,pako78,1606815082.0,b1c3,4.0,1.0,983,1027,0,0
28,mulliganjb,TheBlackMrClean,1606815129.0,e4d5,2.0,1.0,941,809,0,0
29,fristalst,sevenwells,1606815150.0,b1c3,4.0,1.0,1146,1192,0,0
30,WestCoastKratos,nemesisteufel,1606815349.0,e4e5,4.0,0.0,975,1017,0,0
31,i-dornelles,halilcob,1606815456.0,f1d3,0.0,0.0,1057,986,0,0
32,DanBassy12,fpstone,1606816371.0,e4e5,5.0,0.0,1086,1040,1,0
33,mancochess,K_miller97,1606816539.0,f2f3,4.0,0.0,1028,1020,0,0
34,jmsavard,Piulle,1606816670.0,e4d5,1.0,0.0,938,1028,0,0
35,Anotherdudex1,vandass,1606817057.0,e4e5,1.0,0.0,981,964,0,0
36,metajovian,Prajwalbornare,1606817239.0,e4e5,2.0,1.0,992,945,0,0
37,ithrowstuff,tag77,1606817454.0,e4d5,5.0,1.0,1018,1031,0,0
38,felipe-murgel,DanChess1181,1606817468.0,b1c3,4.0,0.0,1200,1109,0,0
39,tybodsm,alexanderdanny777,1606817571.0,e4d5,1.0,1.0,1160,1157,1,0
40,Jackricho,kaminsod,1606817582.0,e4e5,6.0,1.0,1034,1025,0,0
41,conman92,Johnqqq,1606817614.0,e4d5,9.0,1.0,1170,1197,0,0
42,Jimuell09,nachoolivos,1606817834.0,e4d5,5.0,0.0,1180,1150,0,0
43,chenboy83,AlfredoPablo,1606818157.0,e4d5,0.0,0.5,1059,1038,0,0
44,Tater_Bud,OneTrickDonkey,1606818276.0,e4d5,1.0,0.0,1034,1029,0,0
45,YaBoiGep,someonejr,1606818405.0,e4e5,3.0,0.0,998,1034,0,0
46,RJayHall,tobiasavila,1606818729.0,e4e5,3.0,1.0,1069,1086,0,0
47,Lian22,LambeChops,1606819494.0,b1c3,8.0,1.0,928,886,0,0
48,no2scrub,Izaias,1606820221.0,e4e5,-1.0,1.0,1054,1095,1,0
49,prajna_paramita,taasinsaquib,1606821011.0,f1d3,7.0,1.0,931,1058,0,1
50,Alainprevot166,Micwizard10,1606821301.0,f2f3,-1.0,0.0,1101,1140,0,0
51,tybodsm,BriCra,1606821313.0,e4e5,1.0,1.0,1159,1143,2,0
52,Heywood_Jablowme69,ProkofieF,1606821437.0,b1c3,2.0,1.0,943,905,1,0
53,chenboy83,dmageiras,1606821852.0,e4d5,0.0,1.0,1058,1141,1,0
54,no2scrub,CalisseDeTabarnak,1606822096.0,e4e5,-1.0,0.0,1029,1053,2,0
55,CheerySparrow,Pyrrhus-of-Now,1606822398.0,e4e5,0.0,0.0,1118,1149,0,0
56,arcarrer2018,DisarmedSmile,1606822400.0,e4e5,-1.0,1.0,953,970,0,0
57,N1N3,ceratos,1606822427.0,e4e5,0.0,1.0,1200,1177,0,0
58,matajcich,eatbeeschurger,1606822579.0,e4d5,2.0,0.0,962,985,1,0
59,juanGbaron,Cliff23,1606822816.0,f2f3,3.0,0.0,887,924,0,0
60,Shecko,daivik,1606822873.0,e4e5,3.0,0.0,1196,1175,0,0
61,Therbeeo,lerdamiguel,1606823666.0,e4e5,0.0,0.0,1067,1034,0,0
62,zachatttack96,laury69,1606823696.0,e4e5,1.0,0.0,997,1027,0,0
63,Vindoel,SenuliP,1606823777.0,b1c3,7.0,0.0,988,866,0,0
64,Durza13,Soap_Mactavish,1606823799.0,e4e5,9.0,0.0,1139,1033,0,0
65,vanderwaterj,MuhdFaizLim58,1606824144.0,e4d5,3.0,0.0,1101,1051,0,0
66,ChristopherZG,cfarrell77,1606824374.0,b1c3,6.0,0.0,909,893,0,0
67,Tater_Bud,gembes,1606824497.0,e4d5,2.0,1.0,1027,943,1,0
68,Olivier8Perron,EL_Mago_de_Riga,1606824538.0,e4e5,0.0,0.0,1069,1136,0,0
69,mr0mike0h,Skinkfoot,1606825868.0,b1c3,3.0,1.0,1163,1149,0,0
70,Ghilli,On1kmc,1606825895.0,e4e5,2.0,0.0,1054,936,0,0
71,lee020402,zkysolan,1606826067.0,e4e5,-1.0,0.0,1037,1016,0,0
72,arcarrer2018,NWHS_KNgabtak,1606826080.0,e4d5,-1.0,1.0,958,940,1,0
73,Antonnn777,SergeiPetrov,1606826082.0,e4d5,2.0,1.0,1189,1189,0,0
74,Olivier8Perron,DjIcaroFurtado,1606826467.0,e4e5,4.0,1.0,1096,1157,1,0
75,SkillSoup,lee020402,1606826674.0,e4d5,-2.0,1.0,1025,1048,0,0
76,DrewBreesus,ulyses32,1606826691.0,e4e5,2.0,0.0,1037,1083,0,0
