,black,white,start_time,fourthmove,rt,result,blackelo,whiteelo,num_black_games,num_white_games
0,klama123,cemncr,1606799020.0,e5f4,2.0,1.0,1114,1168,0,0
1,Cardioth,moralsupport,1606799080.0,d7d6,0.0,1.0,1068,1157,0,0
2,TomFromMaine,LuisDaniel12,1606799203.0,d7d6,2.0,1.0,1152,1157,0,0
3,Mellowphant,Kemal38196,1606799299.0,e5f4,0.0,0.0,1140,1090,0,0
4,CastleafterCheck,Aurawolf,1606799377.0,e5f4,3.0,1.0,1087,1067,0,0
5,BRAVOLUGO,doViMNE,1606799453.0,e5f4,1.0,1.0,1200,1189,0,0
6,AhmettCanN,Gatolegendary56,1606799481.0,e5f4,6.0,0.0,1064,1027,0,0
7,giopitt67,MixiTheKing,1606799570.0,d8f6,0.0,1.0,1195,1182,0,0
8,Cardoa,Jman19,1606799586.0,e5f4,1.0,0.0,1183,1173,0,0
9,skymart7,jackaltroy,1606799602.0,d8e7,4.0,0.0,1092,1096,0,0
10,f1f31,jpassad,1606799605.0,d7d6,-1.0,0.0,847,801,0,0
11,PleasedToMateU,fristalst,1606799626.0,e5f4,2.0,0.0,1180,1145,0,0
12,Aweoimc,jackaltroy,1606799698.0,e5f4,2.0,0.0,1115,1091,0,0
13,erenaydin,Budung,1606799765.0,e5f4,13.0,1.0,992,1052,0,0
14,greenliberal,MixiTheKing,1606799793.0,e5f4,1.0,1.0,1191,1188,0,0
15,JuanMelendez_TSI,LordLeLouch5515,1606799824.0,g8f6,23.0,1.0,867,913,0,0
16,AharonS,jmodi98,1606799971.0,e5f4,2.0,0.0,1136,1052,0,0
17,federicogaro,Capuero39,1606800055.0,e5f4,2.0,0.0,1115,1117,0,0
18,AnaInes,kakou01,1606800071.0,e5f4,2.0,1.0,1058,949,0,0
19,Cardoa,Jman19,1606800181.0,e5f4,3.0,0.0,1194,1162,1,0
20,starfrom90s,PAHUS,1606800317.0,e5f4,3.0,0.0,1078,1026,0,0
